gene,kME
MAPKAPK5-AS1,0.829
SOCS2,0.829
RCL1,0.829
FAM216A,0.829
ZNF331,0.828
ZNF23,0.828
FOXJ3,0.828
TAF6,0.827
CDADC1,0.827
PCM1,0.826
RAB3GAP2,0.826
SUDS3,0.826
NEIL2,0.825
TNFAIP1,0.824
RAB22A,0.824
TMEM200A,0.824
UBE2O,0.824
CDC7,0.824
DUSP16,0.824
PEX11B,0.824
POGK,0.823
HSP90AA1,0.823
KYAT1,0.823
IFT43,0.822
NOSIP,0.821
FLNB,0.821
TRMT10A,0.821
UBE2N,0.821
BBX,0.821
SLC27A5,0.821
REV3L,0.82
TATDN1,0.82
ACTR10,0.82
TSC22D1,0.819
COG5,0.819
CFDP1,0.819
SFI1,0.818
DNAJC2,0.818
STAMBP,0.818
ACAT1,0.817
OCIAD2,0.817
ZMAT2,0.817
SPOCK2,0.817
OGFOD1,0.817
TBC1D13,0.816
RPP40,0.816
IMMT,0.814
GPX7,0.814
CCT2,0.814
HACD1,0.814
VAMP1,0.814
YEATS4,0.814
SLC25A17,0.814
TAF1,0.813
WDR36,0.813
ELP3,0.813
TSPYL1,0.812
PDCD2L,0.812
TM2D2,0.812
BET1,0.812
MOB4,0.812
TLK1,0.812
ZNF793,0.812
TBC1D8B,0.811
RC3H2,0.811
RANBP2,0.811
ZER1,0.81
ZNF154,0.81
ULK3,0.809
UTP4,0.809
FXR1,0.808
BAZ1B,0.807
SMG7,0.807
TMEM45B,0.807
COG1,0.806
MTERF1,0.806
CLN5,0.806
LRRC37B,0.806
CWC27,0.805
SEC22C,0.804
DNAJC21,0.804
MRPL3,0.804
PIGM,0.803
ZNF41,0.803
OGA,0.803
PYGO2,0.803
TEX10,0.802
ATRX,0.802
PWWP3A,0.802
PABIR1,0.802
ZNF197,0.801
PYCR2,0.801
PPP2R1A,0.8
ABCB9,0.8
SORL1,0.8
DACT1,0.8
WDR27,0.8
BZW2,0.799
ZNF664,0.799
KPNA6,0.798
SH3GLB2,0.798
DHX29,0.798
FIP1L1,0.798
STK39,0.797
RAD21,0.797
DCP1B,0.796
DARS1,0.796
DUT,0.796
SNRPD1,0.795
TCEANC2,0.795
SFMBT1,0.794
TBC1D20,0.794
TUFT1,0.794
RINT1,0.794
PPM1A,0.794
BCL2,0.794
CAAP1,0.794
NTPCR,0.794
SPICE1,0.794
SLC30A4,0.793
ARL13B,0.793
CCDC85C,0.792
ADCY3,0.791
SLC7A1,0.791
ZNF644,0.791
WDR37,0.79
RUVBL1,0.79
SMARCC2,0.789
KCTD13,0.789
PALB2,0.789
PSPC1,0.789
ABCA3,0.788
AGPAT1,0.788
PSMD10,0.788
RELL2,0.788
MAN1A2,0.787
METTL25,0.787
GDF11,0.787
MYO18A,0.786
C12orf43,0.786
FAHD1,0.785
SAMD4B,0.784
FBXO4,0.784
ADARB1,0.783
WASHC3,0.783
LEF1,0.782
RCOR3,0.782
ZNF460,0.782
LINS1,0.781
GCLC,0.78
LONP2,0.78
PJA2,0.78
ARL6IP1,0.779
GOLGA5,0.779
WDR89,0.779
ASCC3,0.779
PSMC5,0.779
FAM227B,0.779
SYNE1,0.778
FAHD2A,0.778
CRYZ,0.778
XKRX,0.777
IRF2BP1,0.777
AAGAB,0.776
CARNS1,0.776
GOLGA7,0.776
ATP8B2,0.776
NDUFAF7,0.776
EIF5B,0.775
RPL34-DT,0.775
ZNF365,0.774
MIS12,0.774
KLF12,0.774
SMYD4,0.774
DDX50,0.774
ATF7IP2,0.773
RBM17,0.773
SRPK1,0.773
DYNC1LI1,0.772
NSRP1,0.772
ACAD11,0.771
WWP1,0.771
TMEM9,0.771
MACF1,0.77
LGALS3BP,0.77
ERCC6,0.769
CTR9,0.769
STK35,0.768
GFPT1,0.768
CABIN1,0.768
ZNF718,0.768
LCMT1,0.768
POLK,0.767
RMND1,0.767
FAAH2,0.767
RYK,0.767
RIF1,0.767
HIF1AN,0.766
CDC27,0.765
STX2,0.765
CCDC146,0.764
B3GLCT,0.764
STIP1,0.764
USP10,0.763
APOL2,0.763
DIS3L,0.763
PSME3IP1,0.763
ALKBH2,0.762
USP25,0.762
PCNX4,0.762
CAD,0.762
CYFIP2,0.762
ITGA3,0.761
HSPA9,0.76
SGTA,0.76
PEX7,0.76
TRIP12,0.76
ALG5,0.76
TMEM70,0.76
PPWD1,0.76
SGPP2,0.759
MAN2A1,0.759
NCOA5,0.758
CLK4,0.757
HIVEP1,0.756
PHF6,0.755
TTLL1,0.754
PTPRA,0.753
NFX1,0.753
HNRNPR,0.752
ZC3H15,0.752
TMEM41A,0.751
UBE3A,0.751
B4GALNT4,0.751
RAB28,0.75
C1QBP,0.75
DPP8,0.749
ZNF236,0.749
FAM13B,0.748
MIER3,0.747
TMEM14B,0.747
SENP2,0.747
PDK3,0.746
BCS1L,0.746
GLO1,0.746
MKRN2,0.746
SLF1,0.746
EIPR1,0.745
UBE3B,0.745
DUSP19,0.745
ANKRD18A,0.744
HECTD1,0.743
DBNDD1,0.743
TTN,0.742
ADNP,0.742
SDK2,0.742
NUP160,0.742
RAB4A,0.741
OVGP1,0.741
CENPT,0.74
KRABD5,0.74
ZNF767P,0.74
ZNF621,0.739
UBL3,0.738
GPI,0.737
AFAP1,0.736
METTL13,0.736
CRIP2,0.736
SPEF2,0.736
UBQLN1,0.735
DDB1,0.735
GEMIN2,0.732
P4HTM,0.732
DHFR2,0.731
NPHP3,0.73
TSTD2,0.73
B3GAT3,0.73
SARAF,0.729
E2F1,0.729
LRRC1,0.728
EIF4ENIF1,0.728
DCAF16,0.727
HYOU1,0.727
SBNO1,0.726
PTMS,0.726
DCAF13,0.726
HMGN3,0.723
MTHFSD,0.723
LIPE,0.723
AHDC1,0.722
PIP4K2C,0.721
WASHC5,0.721
ADAT1,0.721
POLA1,0.72
DUSP14,0.72
ELMO1,0.718
KRAS,0.718
TUBA4A,0.717
SLC39A6,0.716
NCALD,0.715
PIK3R1,0.714
NUP35,0.713
JAKMIP2,0.713
TMOD1,0.713
AGFG2,0.712
NPM1,0.712
GPATCH1,0.712
HIKESHI,0.711
SCML1,0.711
RNMT,0.71
NSD3,0.708
CPAP,0.708
PRR14L,0.708
SH3BGRL2,0.708
ESD,0.706
NCL,0.706
PRG4,0.706
RPAP3,0.706
BRCC3,0.702
SAP18,0.701
TWSG1,0.7
FLACC1,0.7
NRDC,0.697
REV1,0.697
MTIF3,0.696
WDR70,0.695
POU2F1,0.694
CDK6,0.693
KTN1,0.692
RXYLT1,0.691
SCMH1,0.691
UBQLN4,0.688
SLC5A3,0.688
PIGN,0.688
CFAP20,0.688
ZNF280C,0.688
QTMAN,0.685
LONP1,0.684
SDHA,0.684
TRAF3IP1,0.682
GLI4,0.681
RNPC3,0.675
MLF2,0.674
ADD1,0.673
ZNF77,0.673
PRPSAP1,0.673
FASN,0.673
TXNL4B,0.673
LZTS2,0.672
C1QTNF3,0.672
PRPS2,0.672
PACS2,0.671
CCND1,0.671
ATG13,0.671
MB21D2,0.67
PPP1R12A,0.669
SLC25A25,0.667
UBE2Z,0.666
STK11,0.666
PKD1,0.665
RGP1,0.664
GTF3C1,0.663
ETNK1,0.663
PPIG,0.662
ATP2B4,0.66
