logFC,AveExpr,t,P.Value,adj.P.Val,B,feature,dir
0.00174280249892397,7.05459153539878,8.74284471524936,4.75936023212305e-18,3.93611954332339e-16,26.828039650954,SLC1A4,up
0.0018269227196095,10.359890732267,8.7284745990448,5.37912113538855e-18,4.3991817565675e-16,26.7071108032885,TRIM8,up
0.00260912440031635,8.8493010580273,8.72821209163448,5.39115411344057e-18,4.3991817565675e-16,26.7049034372998,ACTN4,up
0.00225658732434824,8.63935770458602,8.72473768147222,5.55294369714324e-18,4.50119409622737e-16,26.6756936911231,NEO1,up
0.00192208813946081,10.976113784649,8.6681458652841,8.97509972795301e-18,7.22731714935163e-16,26.2014368716369,PARP1,up
-0.00181048582532147,6.92196011328994,-8.66620210584572,9.123877576284e-18,7.2991020610272e-16,26.1851983661681,CXCL11,down
0.00175165213778918,9.63657129282707,8.66228008131603,9.43152971814823e-18,7.49622881494379e-16,26.152443365388,ECPAS,up
0.00219183975517294,7.8840222166823,8.65835977776509,9.74928193377453e-18,7.69878779802582e-16,26.1197164717459,ATRNL1,up
0.00154297218667188,7.43357049483387,8.64603527258544,1.08186894396299e-17,8.48851017570965e-16,26.0169203293648,ARL3,up
-0.00209865502857295,7.74746440897754,-8.62998123233369,1.23870591474237e-17,9.65717222703606e-16,25.8832205248141,TMSB15B,down
0.00216917941166066,8.91564953556162,8.6231150978032,1.31245210218516e-17,1.01673504624977e-15,25.8261089608572,LARP1,up
0.00195235560721803,7.48768158676538,8.61883898226359,1.36055378023354e-17,1.04736970251941e-15,25.7905621247956,MCF2L2,up
-0.0018421209952843,7.3681006009398,-8.61350104320414,1.42304904128422e-17,1.08371646212506e-15,25.7462114287507,PLXDC1,down
0.00228467654994867,8.03539594720165,8.61329838797591,1.42547671897169e-17,1.08371646212506e-15,25.7445281536962,KIF5A,up
0.0017709651037818,7.20966027994965,8.61068148219995,1.45719537810178e-17,1.10099206345467e-15,25.7227951670826,MICAL2,up
0.00170874068231368,7.58886856616189,8.60156719061012,1.5732046148023e-17,1.18135119540983e-15,25.6471502550418,ARHGAP5,up
0.00295956537448707,7.69060157551129,8.57553112721196,1.95723243701962e-17,1.45191060782546e-15,25.4314710581001,HDGFL3,up
0.0014338352828149,7.31377591611928,8.57571984818932,1.95414043628019e-17,1.45191060782546e-15,25.4330322134237,NEK11,up
