gsm,gse,Age,Sex,AgeBin
GSM1147885,GSE47353,33,M,"[30,40)"
GSM1147886,GSE47353,33,M,"[30,40)"
GSM1147887,GSE47353,33,M,"[30,40)"
GSM1147888,GSE47353,21,F,"[20,30)"
GSM1147889,GSE47353,21,F,"[20,30)"
GSM1147890,GSE47353,21,F,"[20,30)"
GSM1147891,GSE47353,21,F,"[20,30)"
GSM1147892,GSE47353,23,M,"[20,30)"
GSM1147893,GSE47353,23,M,"[20,30)"
GSM1147894,GSE47353,23,M,"[20,30)"
GSM1147895,GSE47353,23,M,"[20,30)"
GSM1147896,GSE47353,23,M,"[20,30)"
GSM1147897,GSE47353,34,M,"[30,40)"
GSM1147898,GSE47353,34,M,"[30,40)"
GSM1147899,GSE47353,34,M,"[30,40)"
GSM1147900,GSE47353,21,M,"[20,30)"
GSM1147901,GSE47353,21,M,"[20,30)"
GSM1147902,GSE47353,21,M,"[20,30)"
GSM1147903,GSE47353,41,F,"[40,50)"
GSM1147904,GSE47353,41,F,"[40,50)"
GSM1147905,GSE47353,41,F,"[40,50)"
GSM1147906,GSE47353,41,F,"[40,50)"
GSM1147907,GSE47353,41,F,"[40,50)"
GSM1147908,GSE47353,45,F,"[40,50)"
GSM1147909,GSE47353,45,F,"[40,50)"
GSM1147910,GSE47353,45,F,"[40,50)"
GSM1147911,GSE47353,45,F,"[40,50)"
GSM1147912,GSE47353,45,F,"[40,50)"
GSM1147913,GSE47353,23,F,"[20,30)"
GSM1147914,GSE47353,23,F,"[20,30)"
GSM1147915,GSE47353,23,F,"[20,30)"
GSM1147916,GSE47353,23,F,"[20,30)"
GSM1147917,GSE47353,23,F,"[20,30)"
GSM1147918,GSE47353,46,F,"[40,50)"
GSM1147919,GSE47353,46,F,"[40,50)"
GSM1147920,GSE47353,46,F,"[40,50)"
GSM1147921,GSE47353,46,F,"[40,50)"
GSM1147922,GSE47353,46,F,"[40,50)"
GSM1147923,GSE47353,35,F,"[30,40)"
GSM1147924,GSE47353,35,F,"[30,40)"
GSM1147925,GSE47353,34,F,"[30,40)"
GSM1147926,GSE47353,34,F,"[30,40)"
GSM1147927,GSE47353,34,F,"[30,40)"
GSM1147928,GSE47353,34,F,"[30,40)"
GSM1147929,GSE47353,34,F,"[30,40)"
GSM1147930,GSE47353,50,F,"[50,60)"
GSM1147931,GSE47353,50,F,"[50,60)"
GSM1147932,GSE47353,50,F,"[50,60)"
GSM1147933,GSE47353,50,F,"[50,60)"
GSM1147934,GSE47353,50,F,"[50,60)"
GSM1147935,GSE47353,46,F,"[40,50)"
GSM1147936,GSE47353,46,F,"[40,50)"
GSM1147937,GSE47353,46,F,"[40,50)"
GSM1147938,GSE47353,46,F,"[40,50)"
GSM1147939,GSE47353,46,F,"[40,50)"
GSM1147940,GSE47353,38,M,"[30,40)"
GSM1147941,GSE47353,38,M,"[30,40)"
GSM1147942,GSE47353,38,M,"[30,40)"
GSM1147943,GSE47353,38,M,"[30,40)"
GSM1147944,GSE47353,38,M,"[30,40)"
GSM1147945,GSE47353,24,F,"[20,30)"
GSM1147946,GSE47353,24,F,"[20,30)"
GSM1147947,GSE47353,24,F,"[20,30)"
GSM1147948,GSE47353,24,F,"[20,30)"
GSM1147949,GSE47353,24,F,"[20,30)"
GSM1147950,GSE47353,21,F,"[20,30)"
GSM1147951,GSE47353,21,F,"[20,30)"
GSM1147952,GSE47353,21,F,"[20,30)"
GSM1147953,GSE47353,21,F,"[20,30)"
GSM1147954,GSE47353,21,F,"[20,30)"
GSM1147955,GSE47353,23,M,"[20,30)"
GSM1147956,GSE47353,23,M,"[20,30)"
GSM1147957,GSE47353,23,M,"[20,30)"
GSM1147958,GSE47353,23,M,"[20,30)"
GSM1147959,GSE47353,23,M,"[20,30)"
GSM1147960,GSE47353,34,F,"[30,40)"
GSM1147961,GSE47353,34,F,"[30,40)"
GSM1147962,GSE47353,34,F,"[30,40)"
GSM1147963,GSE47353,34,F,"[30,40)"
GSM1147964,GSE47353,34,F,"[30,40)"
GSM1147965,GSE47353,51,F,"[50,60)"
GSM1147966,GSE47353,51,F,"[50,60)"
GSM1147967,GSE47353,51,F,"[50,60)"
GSM1147968,GSE47353,51,F,"[50,60)"
GSM1147969,GSE47353,51,F,"[50,60)"
GSM1147970,GSE47353,62,M,"[60,70)"
GSM1147971,GSE47353,62,M,"[60,70)"
GSM1147972,GSE47353,62,M,"[60,70)"
GSM1147973,GSE47353,62,M,"[60,70)"
GSM1147974,GSE47353,62,M,"[60,70)"
GSM1147975,GSE47353,24,F,"[20,30)"
GSM1147976,GSE47353,23,M,"[20,30)"
GSM1147977,GSE47353,23,M,"[20,30)"
GSM1147978,GSE47353,23,M,"[20,30)"
GSM1147979,GSE47353,23,M,"[20,30)"
GSM1147980,GSE47353,23,M,"[20,30)"
GSM1147981,GSE47353,30,M,"[30,40)"
GSM1147982,GSE47353,30,M,"[30,40)"
GSM1147983,GSE47353,30,M,"[30,40)"
GSM1147984,GSE47353,30,M,"[30,40)"
GSM1147985,GSE47353,30,M,"[30,40)"
GSM1147986,GSE47353,24,F,"[20,30)"
GSM1147987,GSE47353,24,F,"[20,30)"
GSM1147988,GSE47353,24,F,"[20,30)"
GSM1147989,GSE47353,24,F,"[20,30)"
GSM1147990,GSE47353,24,F,"[20,30)"
GSM1147991,GSE47353,34,M,"[30,40)"
GSM1147992,GSE47353,34,M,"[30,40)"
GSM1147993,GSE47353,34,M,"[30,40)"
GSM1147994,GSE47353,34,M,"[30,40)"
GSM1147995,GSE47353,34,M,"[30,40)"
GSM1147996,GSE47353,23,F,"[20,30)"
GSM1147997,GSE47353,23,F,"[20,30)"
GSM1147998,GSE47353,23,F,"[20,30)"
GSM1147999,GSE47353,23,F,"[20,30)"
GSM1148000,GSE47353,23,F,"[20,30)"
GSM1148001,GSE47353,22,F,"[20,30)"
GSM1148002,GSE47353,22,F,"[20,30)"
GSM1148003,GSE47353,22,F,"[20,30)"
GSM1148004,GSE47353,22,F,"[20,30)"
GSM1148005,GSE47353,22,F,"[20,30)"
GSM1148006,GSE47353,39,F,"[30,40)"
GSM1148007,GSE47353,39,F,"[30,40)"
GSM1148008,GSE47353,39,F,"[30,40)"
GSM1148009,GSE47353,39,F,"[30,40)"
GSM1148010,GSE47353,39,F,"[30,40)"
GSM1148011,GSE47353,24,F,"[20,30)"
GSM1148012,GSE47353,24,F,"[20,30)"
GSM1148013,GSE47353,27,F,"[20,30)"
GSM1148014,GSE47353,27,F,"[20,30)"
GSM1148015,GSE47353,27,F,"[20,30)"
GSM1148016,GSE47353,53,M,"[50,60)"
GSM1148017,GSE47353,53,M,"[50,60)"
GSM1148018,GSE47353,53,M,"[50,60)"
GSM1148019,GSE47353,53,M,"[50,60)"
GSM1148020,GSE47353,53,M,"[50,60)"
GSM1148021,GSE47353,22,F,"[20,30)"
GSM1148022,GSE47353,22,F,"[20,30)"
GSM1148023,GSE47353,22,F,"[20,30)"
GSM1148024,GSE47353,22,F,"[20,30)"
GSM1148025,GSE47353,44,F,"[40,50)"
GSM1148026,GSE47353,44,F,"[40,50)"
GSM1148027,GSE47353,44,F,"[40,50)"
GSM1148028,GSE47353,44,F,"[40,50)"
GSM1148029,GSE47353,44,F,"[40,50)"
GSM1148030,GSE47353,44,M,"[40,50)"
GSM1148031,GSE47353,44,M,"[40,50)"
GSM1148032,GSE47353,44,M,"[40,50)"
GSM1148033,GSE47353,44,M,"[40,50)"
GSM1148034,GSE47353,44,M,"[40,50)"
GSM1148035,GSE47353,39,M,"[30,40)"
GSM1148036,GSE47353,39,M,"[30,40)"
GSM1148037,GSE47353,39,M,"[30,40)"
GSM1148038,GSE47353,39,M,"[30,40)"
GSM1148039,GSE47353,39,M,"[30,40)"
GSM1148040,GSE47353,22,F,"[20,30)"
GSM1148041,GSE47353,22,F,"[20,30)"
GSM1148042,GSE47353,22,F,"[20,30)"
GSM1148043,GSE47353,22,F,"[20,30)"
GSM1148044,GSE47353,22,F,"[20,30)"
GSM1148045,GSE47353,28,M,"[20,30)"
GSM1148046,GSE47353,28,M,"[20,30)"
GSM1148047,GSE47353,28,M,"[20,30)"
GSM1148048,GSE47353,28,M,"[20,30)"
GSM1148049,GSE47353,28,M,"[20,30)"
GSM1193117,GSE49058,43,M,"[40,50)"
GSM1193118,GSE49058,35,M,"[30,40)"
GSM1193119,GSE49058,34,M,"[30,40)"
GSM1193120,GSE49058,52,M,"[50,60)"
GSM1193121,GSE49058,62,M,"[60,70)"
GSM1193122,GSE49058,65,M,"[60,70)"
GSM1193123,GSE49058,66,M,"[60,70)"
GSM1193124,GSE49058,64,M,"[60,70)"
GSM1193125,GSE49058,30,M,"[30,40)"
GSM1193126,GSE49058,31,M,"[30,40)"
GSM1193127,GSE49058,43,M,"[40,50)"
GSM1193128,GSE49058,35,M,"[30,40)"
GSM1193129,GSE49058,34,M,"[30,40)"
GSM1193130,GSE49058,52,M,"[50,60)"
GSM1193131,GSE49058,62,M,"[60,70)"
GSM1193132,GSE49058,65,M,"[60,70)"
GSM1193133,GSE49058,66,M,"[60,70)"
GSM1193134,GSE49058,64,M,"[60,70)"
GSM1193135,GSE49058,30,M,"[30,40)"
GSM1193136,GSE49058,31,M,"[30,40)"
GSM1350856,GSE56033,30,F,"[30,40)"
GSM1350857,GSE56033,30,F,"[30,40)"
GSM1350858,GSE56033,47,M,"[40,50)"
GSM1350859,GSE56033,46,F,"[40,50)"
GSM1350860,GSE56033,42,M,"[40,50)"
GSM1350861,GSE56033,27,F,"[20,30)"
GSM1350862,GSE56033,20,F,"[20,30)"
GSM1350863,GSE56033,49,F,"[40,50)"
GSM1350864,GSE56033,23,F,"[20,30)"
GSM1350865,GSE56033,36,M,"[30,40)"
GSM1350866,GSE56033,36,M,"[30,40)"
GSM1350867,GSE56033,23,F,"[20,30)"
GSM1350868,GSE56033,43,M,"[40,50)"
GSM1350869,GSE56033,40,M,"[40,50)"
GSM1350870,GSE56033,19,F,"[10,20)"
GSM1350871,GSE56033,23,F,"[20,30)"
GSM1350872,GSE56033,20,M,"[20,30)"
GSM1350873,GSE56033,20,M,"[20,30)"
GSM1350874,GSE56033,41,F,"[40,50)"
GSM1350875,GSE56033,43,M,"[40,50)"
GSM1350876,GSE56033,40,F,"[40,50)"
GSM1350877,GSE56033,46,F,"[40,50)"
GSM1350878,GSE56033,47,F,"[40,50)"
GSM1350879,GSE56033,47,F,"[40,50)"
GSM1350880,GSE56033,38,M,"[30,40)"
GSM1350881,GSE56033,44,M,"[40,50)"
GSM1350882,GSE56033,27,F,"[20,30)"
GSM1350883,GSE56033,46,M,"[40,50)"
GSM1350884,GSE56033,20,M,"[20,30)"
GSM1350885,GSE56033,20,M,"[20,30)"
GSM1350886,GSE56033,19,F,"[10,20)"
GSM1350887,GSE56033,25,F,"[20,30)"
GSM1350888,GSE56033,21,M,"[20,30)"
GSM1350889,GSE56033,44,M,"[40,50)"
GSM1350890,GSE56033,45,M,"[40,50)"
GSM1350891,GSE56033,50,M,"[50,60)"
GSM1350892,GSE56033,37,M,"[30,40)"
GSM1350893,GSE56033,36,M,"[30,40)"
GSM1350894,GSE56033,20,F,"[20,30)"
GSM1350895,GSE56033,44,M,"[40,50)"
